Circle,Monument,Domestic201617,Foreign201617,Domestic201718,Foreign201718
Agra ,Taj Mahal,5419608,668403,5663136,794556
Agra ,Agra Fort,1799953,441326,2008208,489822
Agra ,Akbar's Tomb Sikandara,418502,22389,362070,23638
Agra ,Fatehpur Sikri,427854,126114,962069,301181
Agra ,Itimad-ud-Daulah,108392,129177,138524,76572
Agra ,Mehtab Bagh,215845,39969,172790,68897
Agra ,RamBagh,56238,1911,67541,13493
Agra ,Mariam's Tomb Sikandara,28026,201,29880,12776
Aurangabad ,Ellora Caves,1255537,24866,1645484,40405
Aurangabad ,Bibi-Ka-Maqbara,1291040,18756,1773100,20290
Aurangabad ,Daulatabad Fort,518376,5791,700989,8583
Aurangabad ,Ajanta Caves,393985,21062,496659,33992
Aurangabad ,Pandaulena Caves,224283,1042,277720,1734
Aurangabad ,Aurangabad Caves,101140,1428,99848,1982
Bengaluru ,Daria Daulat Bagh Srirangapatnam,871498,19933,1078120,28045
Bengaluru ,Chitradurga Fort Chitradurga,433950,1383,455976,1901
Bengaluru ,Keshava Temple Somnathpur,243990,10860,330335,17030
Bengaluru ,Tippu palace Bangalore,161804,10680,247451,15359
Bhopal ,Roopmati Pavilion,344142,2012,428933,2436
Bhopal ,Royal Palaces Mandu,329658,2563,450254,3352
Bhopal ,Gwalior Fort,253242,9097,347838,14554
Bhopal ,Western Group of Temple Khajuraho,262736,59439,373835,84647
Bhopal ,Buddhist Monuments Sanchi,284928,4956,391887,6858
Bhopal ,"Hoshang Shah's Tomb, Mandu",160250,2131,193543,2771
Bhopal ,The Palace Situated Burhapur,48834,397,88133,544
Bhopal ,Buddhist Caves,29669,31,49572,46
Bhubaneswar ,Sun Temple Konark,2300665,5791,3221190,8091
Bhubaneswar ,Udayagiri and Khandagiri Sites,520894,2262,693327,3854
Bhubaneswar ,Ratnagiri Monument,74844,395,56452,711
Bhubaneswar ,Raja Rani Temple,26865,1006,36063,1434
Bhubaneswar ,Lalitagiri Monument,27378,225,46798,562
Chandigarh ,Sheikh Chilli's Tomb Thanesar,130193,69,168622,143
Chandigarh ,Surajkund Faridabad,45236,59,61270,129
Chennai ,"Group of Monuments, Mamallapuram",960963,62110,1334624,96279
Chennai ,"Gingee Fort, Gingee",105997,2607,207556,4709
Chennai ,Fort Museum Thirumayam,48280,649,72581,4287
Chennai ,"Rock cut-Jain Temple, Sittanasal",24976,150,57857,341
Chennai ,Fort on Rock Dindigul,24298,232,47001,241
Chennai ,Natural Caves with inscription Eladipattam Sittannavasal,23999,40,29513,78
Chennai ,Moovarkoil Kodambalur,840,17,2508,24
